日期,版本,事件Id,事件名称,消息数量,独立用户数
2023-02-28,null,rn_share,分享,1,1
2023-02-28,null,canvas_image_seal,印章,2,2
2023-02-28,null,rn_publish,发帖,2,1
2023-02-28,null,canvas_image_print,版画,3,2
2023-02-28,null,canvas_image_bw,黑白画,5,3
2023-02-28,null,canvas_text,创作文本,5,5
2023-02-28,null,rn_faq,FAQ,9,9
2023-02-28,null,canvas_doodle,创作涂鸦,9,5
2023-02-28,null,rn_help,帮助,14,13
2023-02-28,null,canvas_image_dithering,抖动,18,5
2023-02-28,null,rn_course,新手教程,22,14
2023-02-28,null,canvas_material,创作素材,36,8
2023-02-28,null,canvas_image,创作图片,42,8
2023-02-28,null,rn_guide,新手引导,48,30
2023-02-28,null,canvas_image_gcode,GCode,50,4
2023-02-28,null,canvas_shape,创作形状,98,10
2023-02-28,null,create,打开创作,152,23
2023-02-28,null,user_register,用户注册,168,80
2023-02-28,null,preview,预览,321,18
2023-02-28,null,engrave,雕刻,447,16
2023-02-28,null,connect_device,连接设备,4999,592
2023-02-28,null,search_device,搜索设备,7769,639
2023-03-01,null,smart_assistant,智能指南,1,1
2023-03-01,null,mm_unit,毫米单位,2,2
2023-03-01,null,inch_unit,公制单位,2,2
2023-03-01,null,canvas_image_seal,印章,4,3
2023-03-01,null,canvas_image_print,版画,4,3
2023-03-01,null,canvas_image_bw,黑白画,5,3
2023-03-01,null,canvas_image_gcode,GCode,8,3
2023-03-01,null,canvas_text,创作文本,8,5
2023-03-01,null,canvas_doodle,创作涂鸦,12,7
2023-03-01,null,canvas_material,创作素材,17,10
2023-03-01,null,canvas_image,创作图片,19,8
2023-03-01,null,rn_faq,FAQ,22,18
2023-03-01,null,rn_help,帮助,27,15
2023-03-01,null,canvas_shape,创作形状,28,9
2023-03-01,null,rn_guide,新手引导,35,23
2023-03-01,null,rn_course,新手教程,37,14
2023-03-01,null,canvas_image_dithering,抖动,41,7
2023-03-01,null,create,打开创作,87,22
2023-03-01,null,user_register,用户注册,127,57
2023-03-01,null,engrave,雕刻,187,11
2023-03-01,null,preview,预览,189,17
2023-03-01,null,connect_device,连接设备,4169,543
2023-03-01,null,search_device,搜索设备,6514,573
2023-03-02,null,mm_unit,毫米单位,1,1
2023-03-02,null,inch_unit,公制单位,1,1
2023-03-02,null,rn_share,分享,5,4
2023-03-02,null,canvas_image_seal,印章,6,5
2023-03-02,null,canvas_image_gcode,GCode,7,4
2023-03-02,null,canvas_doodle,创作涂鸦,7,5
2023-03-02,null,canvas_image_print,版画,9,4
2023-03-02,null,rn_help,帮助,10,10
2023-03-02,null,canvas_image_bw,黑白画,11,5
2023-03-02,null,rn_faq,FAQ,15,14
2023-03-02,null,canvas_material,创作素材,19,9
2023-03-02,null,canvas_image_dithering,抖动,22,8
2023-03-02,null,canvas_image,创作图片,23,9
2023-03-02,null,rn_guide,新手引导,28,24
2023-03-02,null,rn_course,新手教程,30,14
2023-03-02,null,canvas_shape,创作形状,41,11
2023-03-02,null,canvas_text,创作文本,46,7
2023-03-02,null,create,打开创作,71,21
2023-03-02,null,user_register,用户注册,144,71
2023-03-02,null,preview,预览,315,15
2023-03-02,null,engrave,雕刻,373,13
2023-03-02,null,connect_device,连接设备,3836,545
2023-03-02,null,search_device,搜索设备,6453,581
2023-03-03,null,rn_share,分享,1,1
2023-03-03,null,smart_assistant,智能指南,2,2
2023-03-03,null,mm_unit,毫米单位,2,1
2023-03-03,null,inch_unit,公制单位,2,1
2023-03-03,null,canvas_image_seal,印章,8,4
2023-03-03,null,canvas_image_print,版画,9,6
2023-03-03,null,rn_help,帮助,15,12
2023-03-03,null,rn_faq,FAQ,18,13
2023-03-03,null,rn_course,新手教程,21,10
2023-03-03,null,canvas_image_bw,黑白画,23,10
2023-03-03,null,rn_guide,新手引导,26,16
2023-03-03,null,canvas_image_dithering,抖动,27,12
2023-03-03,null,canvas_doodle,创作涂鸦,29,8
2023-03-03,null,canvas_image_gcode,GCode,30,12
2023-03-03,null,canvas_image,创作图片,31,16
2023-03-03,null,canvas_material,创作素材,34,13
2023-03-03,null,canvas_text,创作文本,51,11
2023-03-03,null,canvas_shape,创作形状,85,14
2023-03-03,null,create,打开创作,109,26
2023-03-03,null,user_register,用户注册,161,71
2023-03-03,null,preview,预览,439,21
2023-03-03,null,engrave,雕刻,452,16
2023-03-03,null,connect_device,连接设备,4676,585
2023-03-03,null,search_device,搜索设备,7246,619
2023-03-04,null,canvas_image_print,版画,1,1
2023-03-04,null,canvas_image_bw,黑白画,3,3
2023-03-04,null,smart_assistant,智能指南,3,2
2023-03-04,null,mm_unit,毫米单位,3,2
2023-03-04,null,inch_unit,公制单位,5,4
2023-03-04,null,canvas_image_seal,印章,6,3
2023-03-04,null,rn_help,帮助,7,6
2023-03-04,null,canvas_text,创作文本,8,6
2023-03-04,null,canvas_doodle,创作涂鸦,11,7
2023-03-04,null,canvas_image_gcode,GCode,15,4
2023-03-04,null,canvas_material,创作素材,15,8
2023-03-04,null,canvas_image_dithering,抖动,16,5
2023-03-04,null,rn_faq,FAQ,19,16
2023-03-04,null,rn_course,新手教程,23,13
2023-03-04,null,rn_guide,新手引导,26,24
2023-03-04,null,canvas_shape,创作形状,27,9
2023-03-04,null,canvas_image,创作图片,48,12
2023-03-04,null,create,打开创作,61,25
2023-03-04,null,user_register,用户注册,107,54
2023-03-04,null,preview,预览,196,16
2023-03-04,null,engrave,雕刻,306,10
2023-03-04,null,connect_device,连接设备,3955,518
2023-03-04,null,search_device,搜索设备,6657,550
2023-03-05,null,rn_share,分享,1,1
2023-03-05,null,smart_assistant,智能指南,5,2
2023-03-05,null,canvas_doodle,创作涂鸦,6,6
2023-03-05,null,canvas_image_seal,印章,10,6
2023-03-05,null,canvas_material,创作素材,11,8
2023-03-05,null,rn_faq,FAQ,15,7
2023-03-05,null,canvas_image_print,版画,15,6
2023-03-05,null,rn_help,帮助,17,11
2023-03-05,null,rn_course,新手教程,17,10
2023-03-05,null,canvas_image_bw,黑白画,18,7
2023-03-05,null,canvas_text,创作文本,19,9
2023-03-05,null,canvas_image_gcode,GCode,21,5
2023-03-05,null,canvas_image_dithering,抖动,24,7
2023-03-05,null,rn_guide,新手引导,26,18
2023-03-05,null,canvas_shape,创作形状,26,10
2023-03-05,null,canvas_image,创作图片,28,11
2023-03-05,null,create,打开创作,72,22
2023-03-05,null,user_register,用户注册,98,49
2023-03-05,null,preview,预览,170,14
2023-03-05,null,engrave,雕刻,296,12
2023-03-05,null,connect_device,连接设备,3861,488
2023-03-05,null,search_device,搜索设备,6430,519
2023-03-06,null,rn_share,分享,1,1
2023-03-06,null,mm_unit,毫米单位,1,1
2023-03-06,null,smart_assistant,智能指南,3,3
2023-03-06,null,inch_unit,公制单位,3,3
2023-03-06,null,canvas_image_seal,印章,10,7
2023-03-06,null,canvas_image_bw,黑白画,11,7
2023-03-06,null,canvas_image_print,版画,11,11
2023-03-06,null,rn_help,帮助,12,10
2023-03-06,null,rn_faq,FAQ,15,12
2023-03-06,null,canvas_doodle,创作涂鸦,20,13
2023-03-06,null,canvas_text,创作文本,25,15
2023-03-06,null,canvas_material,创作素材,26,15
2023-03-06,null,rn_course,新手教程,27,11
2023-03-06,null,rn_guide,新手引导,38,26
2023-03-06,null,canvas_image_gcode,GCode,40,10
2023-03-06,null,canvas_image_dithering,抖动,44,17
2023-03-06,null,canvas_image,创作图片,55,15
2023-03-06,null,canvas_shape,创作形状,58,17
2023-03-06,null,create,打开创作,155,41
2023-03-06,null,user_register,用户注册,175,89
2023-03-06,null,preview,预览,318,23
2023-03-06,null,engrave,雕刻,458,19
2023-03-06,null,connect_device,连接设备,4713,573
2023-03-06,null,search_device,搜索设备,7369,615
2023-03-07,null,rn_share,分享,2,2
2023-03-07,null,smart_assistant,智能指南,2,2
2023-03-07,null,mm_unit,毫米单位,8,8
2023-03-07,null,inch_unit,公制单位,9,9
2023-03-07,null,rn_help,帮助,17,15
2023-03-07,null,canvas_image_seal,印章,18,13
2023-03-07,null,rn_faq,FAQ,22,18
2023-03-07,null,rn_course,新手教程,23,11
2023-03-07,null,canvas_image_bw,黑白画,26,15
2023-03-07,null,rn_guide,新手引导,26,23
2023-03-07,null,canvas_image_print,版画,31,13
2023-03-07,null,canvas_text,创作文本,34,21
2023-03-07,null,canvas_doodle,创作涂鸦,39,17
2023-03-07,null,canvas_material,创作素材,40,22
2023-03-07,null,canvas_image_dithering,抖动,51,21
2023-03-07,null,canvas_shape,创作形状,58,26
2023-03-07,null,canvas_image,创作图片,64,29
2023-03-07,null,canvas_image_gcode,GCode,90,22
2023-03-07,null,create,打开创作,147,55
2023-03-07,null,user_register,用户注册,168,83
2023-03-07,null,preview,预览,246,29
2023-03-07,null,engrave,雕刻,293,19
2023-03-07,null,connect_device,连接设备,4381,598
2023-03-07,null,search_device,搜索设备,7076,657
2023-03-08,null,rn_publish,发帖,1,1
2023-03-08,null,smart_assistant,智能指南,7,4
2023-03-08,null,mm_unit,毫米单位,8,3
2023-03-08,null,inch_unit,公制单位,11,5
2023-03-08,null,canvas_text,创作文本,19,15
2023-03-08,null,rn_help,帮助,24,17
2023-03-08,null,rn_course,新手教程,24,9
2023-03-08,null,canvas_image_seal,印章,27,17
2023-03-08,null,rn_faq,FAQ,29,21
2023-03-08,null,canvas_doodle,创作涂鸦,29,16
2023-03-08,null,rn_guide,新手引导,30,18
2023-03-08,null,canvas_image_print,版画,36,20
2023-03-08,null,canvas_image_bw,黑白画,43,20
2023-03-08,null,canvas_image_dithering,抖动,49,24
2023-03-08,null,canvas_image,创作图片,62,18
2023-03-08,null,canvas_image_gcode,GCode,110,19
2023-03-08,null,user_register,用户注册,132,65
2023-03-08,null,canvas_material,创作素材,132,26
2023-03-08,null,canvas_shape,创作形状,237,28
2023-03-08,null,create,打开创作,312,49
2023-03-08,null,preview,预览,667,26
2023-03-08,null,engrave,雕刻,932,20
2023-03-08,null,connect_device,连接设备,5188,610
2023-03-08,null,search_device,搜索设备,7394,662
2023-03-09,null,smart_assistant,智能指南,6,3
2023-03-09,null,mm_unit,毫米单位,6,6
2023-03-09,null,inch_unit,公制单位,10,10
2023-03-09,null,canvas_image_seal,印章,20,11
2023-03-09,null,rn_help,帮助,24,16
2023-03-09,null,rn_faq,FAQ,25,18
2023-03-09,null,rn_course,新手教程,25,10
2023-03-09,null,canvas_image_print,版画,26,14
2023-03-09,null,rn_guide,新手引导,35,28
2023-03-09,null,canvas_doodle,创作涂鸦,44,23
2023-03-09,null,canvas_text,创作文本,53,25
2023-03-09,null,canvas_image_bw,黑白画,60,21
2023-03-09,null,canvas_image_dithering,抖动,62,22
2023-03-09,null,canvas_image_gcode,GCode,78,18
2023-03-09,null,canvas_image,创作图片,83,31
2023-03-09,null,canvas_material,创作素材,123,30
2023-03-09,null,user_register,用户注册,144,66
2023-03-09,null,canvas_shape,创作形状,253,33
2023-03-09,null,create,打开创作,387,62
2023-03-09,null,preview,预览,820,41
2023-03-09,null,engrave,雕刻,1763,28
2023-03-09,null,connect_device,连接设备,5314,600
2023-03-09,null,search_device,搜索设备,7647,643
2023-03-10,null,smart_assistant,智能指南,3,2
2023-03-10,null,mm_unit,毫米单位,4,3
2023-03-10,null,inch_unit,公制单位,5,4
2023-03-10,null,canvas_image_seal,印章,9,5
2023-03-10,null,rn_help,帮助,11,9
2023-03-10,null,rn_faq,FAQ,16,13
2023-03-10,null,canvas_image_print,版画,16,8
2023-03-10,null,rn_course,新手教程,26,13
2023-03-10,null,canvas_doodle,创作涂鸦,28,15
2023-03-10,null,canvas_image_bw,黑白画,32,14
2023-03-10,null,rn_guide,新手引导,32,21
2023-03-10,null,canvas_image_gcode,GCode,37,11
2023-03-10,null,canvas_image_dithering,抖动,42,18
2023-03-10,null,canvas_image,创作图片,46,21
2023-03-10,null,canvas_material,创作素材,61,24
2023-03-10,null,canvas_text,创作文本,68,25
2023-03-10,null,canvas_shape,创作形状,161,36
2023-03-10,null,user_register,用户注册,176,77
2023-03-10,null,create,打开创作,272,63
2023-03-10,null,preview,预览,586,40
2023-03-10,null,engrave,雕刻,3718,30
2023-03-10,null,connect_device,连接设备,5199,585
2023-03-10,null,search_device,搜索设备,7799,614
2023-03-11,null,mm_unit,毫米单位,4,2
2023-03-11,null,smart_assistant,智能指南,5,4
2023-03-11,null,inch_unit,公制单位,9,7
2023-03-11,null,canvas_image_seal,印章,13,12
2023-03-11,null,rn_help,帮助,14,13
2023-03-11,null,rn_faq,FAQ,17,13
2023-03-11,null,rn_guide,新手引导,24,21
2023-03-11,null,canvas_doodle,创作涂鸦,25,13
2023-03-11,null,canvas_image_bw,黑白画,26,17
2023-03-11,null,rn_course,新手教程,27,12
2023-03-11,null,canvas_image_print,版画,32,21
2023-03-11,null,canvas_image_gcode,GCode,51,22
2023-03-11,null,canvas_material,创作素材,51,24
2023-03-11,null,canvas_text,创作文本,69,25
2023-03-11,null,canvas_image,创作图片,69,28
2023-03-11,null,canvas_image_dithering,抖动,92,26
2023-03-11,null,canvas_shape,创作形状,114,32
2023-03-11,null,user_register,用户注册,121,69
2023-03-11,null,create,打开创作,334,68
2023-03-11,null,preview,预览,751,48
2023-03-11,null,engrave,雕刻,2796,29
2023-03-11,null,connect_device,连接设备,5154,580
2023-03-11,null,search_device,搜索设备,7290,613
2023-03-12,null,mm_unit,毫米单位,2,2
2023-03-12,null,smart_assistant,智能指南,4,2
2023-03-12,null,inch_unit,公制单位,4,4
2023-03-12,null,rn_course,新手教程,13,9
2023-03-12,null,canvas_image_seal,印章,18,14
2023-03-12,null,rn_share,分享,18,5
2023-03-12,null,rn_faq,FAQ,18,15
2023-03-12,null,rn_help,帮助,20,12
2023-03-12,null,canvas_doodle,创作涂鸦,24,16
2023-03-12,null,rn_guide,新手引导,30,21
2023-03-12,null,canvas_material,创作素材,36,21
2023-03-12,null,canvas_image_print,版画,46,11
2023-03-12,null,canvas_image_dithering,抖动,53,19
2023-03-12,null,canvas_text,创作文本,58,22
2023-03-12,null,canvas_image_bw,黑白画,64,19
2023-03-12,null,canvas_image_gcode,GCode,65,20
2023-03-12,null,canvas_image,创作图片,84,24
2023-03-12,null,user_register,用户注册,105,59
2023-03-12,null,canvas_shape,创作形状,109,26
2023-03-12,null,create,打开创作,216,53
2023-03-12,null,preview,预览,360,37
2023-03-12,null,engrave,雕刻,598,24
2023-03-12,null,connect_device,连接设备,4444,535
2023-03-12,null,search_device,搜索设备,7012,559
2023-03-13,null,rn_share,分享,3,3
2023-03-13,null,mm_unit,毫米单位,3,3
2023-03-13,null,canvas_image_seal,印章,4,4
2023-03-13,null,smart_assistant,智能指南,4,3
2023-03-13,null,inch_unit,公制单位,7,5
2023-03-13,null,rn_faq,FAQ,16,15
2023-03-13,null,rn_help,帮助,17,14
2023-03-13,null,canvas_image_bw,黑白画,22,16
2023-03-13,null,rn_course,新手教程,26,12
2023-03-13,null,rn_guide,新手引导,30,23
2023-03-13,null,canvas_doodle,创作涂鸦,36,17
2023-03-13,null,canvas_image_print,版画,38,17
2023-03-13,null,canvas_material,创作素材,57,24
2023-03-13,null,canvas_image_gcode,GCode,64,21
2023-03-13,null,canvas_image_dithering,抖动,75,26
2023-03-13,null,canvas_text,创作文本,83,27
2023-03-13,null,canvas_image,创作图片,101,25
2023-03-13,null,user_register,用户注册,139,64
2023-03-13,null,canvas_shape,创作形状,179,32
2023-03-13,null,create,打开创作,383,68
2023-03-13,null,preview,预览,789,56
2023-03-13,null,engrave,雕刻,2074,39
2023-03-13,null,connect_device,连接设备,5147,600
2023-03-13,null,search_device,搜索设备,7169,620
2023-03-14,null,rn_share,分享,1,1
2023-03-14,null,smart_assistant,智能指南,3,3
2023-03-14,null,mm_unit,毫米单位,5,3
2023-03-14,null,inch_unit,公制单位,9,6
2023-03-14,null,rn_faq,FAQ,10,9
2023-03-14,null,rn_help,帮助,16,15
2023-03-14,null,canvas_doodle,创作涂鸦,19,15
2023-03-14,null,canvas_image_seal,印章,21,10
2023-03-14,null,rn_course,新手教程,24,14
2023-03-14,null,rn_guide,新手引导,30,26
2023-03-14,null,canvas_image_print,版画,39,13
2023-03-14,null,canvas_image_dithering,抖动,40,16
2023-03-14,null,canvas_text,创作文本,40,20
2023-03-14,null,canvas_image_bw,黑白画,41,11
2023-03-14,null,canvas_material,创作素材,53,27
2023-03-14,null,canvas_image_gcode,GCode,78,14
