日期,参数值,消息数量,占比
2023-03-28,1099,3,0.01%
2023-03-28,445,3,0.01%
2023-03-28,511,3,0.01%
2023-03-28,824,3,0.01%
2023-03-28,912,3,0.01%
2023-03-28,1042,2,0.0%
2023-03-28,1081,2,0.0%
2023-03-28,1083,2,0.0%
2023-03-28,1016,2,0.0%
2023-03-28,1027,2,0.0%
2023-03-28,1035,2,0.0%
2023-03-28,1038,2,0.0%
2023-03-28,1142,2,0.0%
2023-03-28,1105,2,0.0%
2023-03-28,1120,2,0.0%
2023-03-28,1128,2,0.0%
2023-03-28,1242,2,0.0%
2023-03-28,1261,2,0.0%
2023-03-28,1282,2,0.0%
2023-03-28,1284,2,0.0%
2023-03-28,1202,2,0.0%
2023-03-28,1222,2,0.0%
2023-03-28,1238,2,0.0%
2023-03-28,1341,2,0.0%
2023-03-28,1361,2,0.0%
2023-03-28,1386,2,0.0%
2023-03-28,1458,2,0.0%
2023-03-28,1485,2,0.0%
2023-03-28,1407,2,0.0%
2023-03-28,1948,2,0.0%
2023-03-28,1962,2,0.0%
2023-03-28,2069,2,0.0%
2023-03-28,346,2,0.0%
2023-03-28,3488,2,0.0%
2023-03-28,3570,2,0.0%
2023-03-28,3513,2,0.0%
2023-03-28,3659,2,0.0%
2023-03-28,3694,2,0.0%
2023-03-28,410,2,0.0%
2023-03-28,435,2,0.0%
2023-03-28,439,2,0.0%
2023-03-28,454,2,0.0%
2023-03-28,476,2,0.0%
2023-03-28,477,2,0.0%
2023-03-28,471,2,0.0%
2023-03-28,472,2,0.0%
2023-03-28,486,2,0.0%
2023-03-28,488,2,0.0%
2023-03-28,497,2,0.0%
2023-03-28,517,2,0.0%
2023-03-28,532,2,0.0%
2023-03-28,608,2,0.0%
2023-03-28,645,2,0.0%
2023-03-28,705,2,0.0%
2023-03-28,772,2,0.0%
2023-03-28,805,2,0.0%
2023-03-28,811,2,0.0%
2023-03-28,826,2,0.0%
2023-03-28,822,2,0.0%
2023-03-28,823,2,0.0%
2023-03-28,847,2,0.0%
2023-03-28,854,2,0.0%
2023-03-28,859,2,0.0%
2023-03-28,867,2,0.0%
2023-03-28,895,2,0.0%
2023-03-28,890,2,0.0%
2023-03-28,891,2,0.0%
2023-03-28,893,2,0.0%
2023-03-28,903,2,0.0%
2023-03-28,914,2,0.0%
2023-03-28,910,2,0.0%
2023-03-28,920,2,0.0%
2023-03-28,932,2,0.0%
2023-03-28,952,2,0.0%
2023-03-28,962,2,0.0%
2023-03-28,975,2,0.0%
2023-03-28,987,2,0.0%
2023-03-28,981,2,0.0%
2023-03-28,982,2,0.0%
2023-03-28,983,2,0.0%
2023-03-28,994,2,0.0%
2023-03-28,998,2,0.0%
2023-03-28,999,2,0.0%
2023-03-28,1050,1,0.0%
2023-03-28,1051,1,0.0%
2023-03-28,1057,1,0.0%
2023-03-28,1059,1,0.0%
2023-03-28,1062,1,0.0%
2023-03-28,1064,1,0.0%
2023-03-28,1065,1,0.0%
2023-03-28,1076,1,0.0%
2023-03-28,1079,1,0.0%
2023-03-28,1080,1,0.0%
2023-03-28,1086,1,0.0%
2023-03-28,1087,1,0.0%
2023-03-28,1089,1,0.0%
2023-03-28,1097,1,0.0%
2023-03-28,10989,1,0.0%
