日期,参数值,消息数量,占比
2023-05-08,LP4-D6B33E,3,0.08%
2023-05-08,LP4-D6B40E,1,0.03%
2023-05-09,LaserPecker-IV2377F3,11,0.3%
2023-05-09,LP4-D6B33E,9,0.24%
2023-05-09,LX1-D6AE77,5,0.14%
2023-05-09,LaserPecker-II108FCA,4,0.11%
2023-05-09,LaserPecker-IV001961,4,0.11%
2023-05-09,LaserPecker-III10EC23,3,0.08%
2023-05-09,LP4-D6B40E,1,0.03%
2023-05-10,LaserPecker-IV001961,10,0.27%
2023-05-10,LaserPecker-II10AAAE,7,0.19%
2023-05-10,LaserPecker-IV2377F3,5,0.14%
2023-05-10,LaserPecker-IV237834,5,0.14%
2023-05-10,LP4-D6B33E,3,0.08%
2023-05-10,LaserPecker-III10EC23,3,0.08%
2023-05-10,LaserPecker-IV23780A,3,0.08%
2023-05-10,LP4-D6B503,2,0.05%
2023-05-10,LaserPecker-II10598E,2,0.05%
2023-05-10,LP4-D6B465,1,0.03%
2023-05-10,LP4-D6B40E,1,0.03%
2023-05-10,LX1-D6AE16,1,0.03%
2023-05-10,LaserPecker-III10EC0A,1,0.03%
2023-05-10,LaserPecker-IV23780F,1,0.03%
2023-05-10,LaserPecker-IV23781E,1,0.03%
2023-05-11,LP4-D6B33E,29,0.79%
2023-05-11,LaserPecker-CI237895,4,0.11%
2023-05-11,LaserPecker-IV2377F3,4,0.11%
2023-05-11,LP4-D6B503,3,0.08%
2023-05-11,LaserPecker-IV237829,3,0.08%
2023-05-11,LaserPecker-IV001961,2,0.05%
2023-05-11,LaserPecker-IV23780A,2,0.05%
2023-05-11,LaserPecker-II104807,1,0.03%
2023-05-11,LaserPecker-IV23781E,1,0.03%
2023-05-11,LaserPecker-IV23782C,1,0.03%
2023-05-12,LaserPecker-II10E9F7,11,0.3%
2023-05-12,LaserPecker-II10CC50,7,0.19%
2023-05-12,LaserPecker-III110F8E,5,0.14%
2023-05-12,LP4-D6B35A,4,0.11%
2023-05-12,LP4-D6B33E,4,0.11%
2023-05-12,LaserPecker-II104807,4,0.11%
2023-05-12,LaserPecker-IV23781E,4,0.11%
2023-05-12,LP4-D6B452,2,0.05%
2023-05-12,LaserPecker-IV001961,2,0.05%
2023-05-12,LaserPecker-II104353,1,0.03%
2023-05-12,LaserPecker-III111D62,1,0.03%
2023-05-12,LaserPecker-IV2377F3,1,0.03%
2023-05-12,LaserPecker-IV23780F,1,0.03%
2023-05-13,LaserPecker-II10A1D9,9,0.24%
2023-05-13,LaserPecker-IV2377A9,9,0.24%
2023-05-13,LP4-D6B503,6,0.16%
2023-05-13,LP4-D6B36E,5,0.14%
2023-05-13,LX1-D6AE54,5,0.14%
2023-05-13,LX1-D6AE76,5,0.14%
2023-05-13,LaserPecker-IV2377F3,5,0.14%
2023-05-13,LaserPecker-IV23781E,4,0.11%
2023-05-13,LX1-D6ADFD,3,0.08%
2023-05-13,LaserPecker-II10F6AD,3,0.08%
2023-05-13,LaserPecker-IV2377A0,3,0.08%
2023-05-13,LP4-D6B443,2,0.05%
2023-05-13,LX1-D6AE05,2,0.05%
2023-05-13,LaserPecker-II10F4B9,2,0.05%
2023-05-13,LaserPecker-IV001961,2,0.05%
2023-05-13,LaserPecker-IV23781D,2,0.05%
2023-05-13,LaserPecker-IV23782F,2,0.05%
2023-05-13,LaserPecker-IV237834,2,0.05%
