日期,参数值,消息数量,占比
2023-05-17,Google Pixel 6,3,0.44%
2023-05-17,Xiaomi 220233L2C,1,0.15%
2023-05-18,samsung SM-S9010,11,1.62%
2023-05-18,Xiaomi 2206123SC,7,1.03%
2023-05-18,samsung SM-S918B,5,0.74%
2023-05-18,Xiaomi 220233L2C,4,0.59%
2023-05-18,Xiaomi Redmi K30 5G,3,0.44%
2023-05-18,OnePlus IN2010,2,0.29%
2023-05-18,Google Pixel 6,1,0.15%
2023-05-18,HUAWEI ELS-AN00,1,0.15%
2023-05-19,HUAWEI TEL-AN10,41,6.04%
2023-05-19,Xiaomi M2006C3LC,9,1.33%
2023-05-19,samsung SM-S9010,6,0.88%
2023-05-19,samsung SM-S918B,6,0.88%
2023-05-19,Xiaomi 220233L2C,5,0.74%
2023-05-19,HUAWEI JEF-AN00,3,0.44%
2023-05-19,Xiaomi 2206123SC,3,0.44%
2023-05-19,OnePlus IN2010,2,0.29%
2023-05-19,HUAWEI ELS-AN00,1,0.15%
2023-05-19,vivo V2031A,1,0.15%
2023-05-20,HUAWEI JEF-AN00,27,3.98%
2023-05-20,Xiaomi 2206123SC,24,3.53%
2023-05-20,HUAWEI TEL-AN10,20,2.95%
2023-05-20,samsung SM-S918B,8,1.18%
2023-05-20,Xiaomi 220233L2C,3,0.44%
2023-05-20,Xiaomi M2006C3LC,1,0.15%
2023-05-20,Xiaomi Redmi K30 5G,1,0.15%
2023-05-21,samsung SM-S918B,8,1.18%
2023-05-21,HUAWEI ELS-AN00,3,0.44%
2023-05-21,Xiaomi Mi Note 3,2,0.29%
2023-05-21,Xiaomi 22127RK46C,1,0.15%
2023-05-22,Xiaomi M2006C3LC,20,2.95%
2023-05-22,Xiaomi 2206123SC,12,1.77%
2023-05-22,samsung SM-S918B,5,0.74%
2023-05-22,Xiaomi Mi Note 3,2,0.29%
2023-05-22,HUAWEI TEL-AN10,1,0.15%
2023-05-22,Xiaomi 22127RK46C,1,0.15%
2023-05-23,Xiaomi M2006C3LC,35,5.15%
2023-05-23,HUAWEI TEL-AN10,9,1.33%
2023-05-23,Xiaomi 21091116C,9,1.33%
2023-05-23,HUAWEI JEF-AN00,7,1.03%
2023-05-23,Xiaomi 2206123SC,7,1.03%
2023-05-23,Xiaomi 220233L2C,3,0.44%
2023-05-23,HUAWEI ELS-AN00,1,0.15%
2023-05-23,Xiaomi Mi Note 3,1,0.15%
2023-05-24,Xiaomi M2006C3LC,20,2.95%
2023-05-24,HUAWEI JEF-AN00,10,1.47%
2023-05-24,Xiaomi 21091116C,9,1.33%
2023-05-24,Xiaomi 2206123SC,7,1.03%
2023-05-24,Xiaomi 22101317C,2,0.29%
2023-05-24,samsung SM-S918B,2,0.29%
2023-05-24,Google Pixel 6,1,0.15%
2023-05-24,HUAWEI ANA-AN00,1,0.15%
2023-05-24,Xiaomi 220233L2C,1,0.15%
2023-05-24,Xiaomi Mi Note 3,1,0.15%
2023-05-25,Xiaomi M2006C3LC,68,10.01%
2023-05-25,HUAWEI LIO-AN00m,20,2.95%
2023-05-25,Xiaomi 22101317C,9,1.33%
2023-05-25,samsung SM-S9010,8,1.18%
2023-05-25,HUAWEI JEF-AN00,7,1.03%
2023-05-25,Xiaomi 2206123SC,5,0.74%
2023-05-25,Xiaomi 21091116C,2,0.29%
2023-05-25,vivo V2054A,2,0.29%
2023-05-25,vivo V2162A,2,0.29%
2023-05-25,HUAWEI ANA-AN00,1,0.15%
2023-05-25,Xiaomi Mi 10,1,0.15%
2023-05-25,samsung SM-S918B,1,0.15%
2023-05-25,vivo V2031A,1,0.15%
2023-05-26,Xiaomi 220233L2C,37,5.45%
2023-05-26,Xiaomi M2006C3LC,19,2.8%
2023-05-26,vivo V2162A,10,1.47%
2023-05-26,Xiaomi 21091116C,8,1.18%
2023-05-26,Xiaomi 22101317C,5,0.74%
2023-05-26,vivo V1962A,4,0.59%
2023-05-26,Xiaomi 2206123SC,3,0.44%
2023-05-26,vivo V2171A,2,0.29%
2023-05-26,HUAWEI JEF-AN00,1,0.15%
2023-05-26,Xiaomi Mi Note 3,1,0.15%
2023-05-27,vivo V1962A,18,2.65%
2023-05-27,Xiaomi M2006C3LC,15,2.21%
2023-05-27,vivo V2162A,6,0.88%
2023-05-27,samsung SM-S918B,4,0.59%
2023-05-27,Xiaomi Mi Note 3,3,0.44%
2023-05-28,Xiaomi M2006C3LC,15,2.21%
2023-05-28,Xiaomi Mi 10,10,1.47%
2023-05-28,vivo V1962A,7,1.03%
2023-05-28,vivo V2162A,2,0.29%
2023-05-28,Xiaomi 21091116C,1,0.15%
2023-05-28,vivo V2005A,1,0.15%
