日期,参数值,消息数量,占比
2023-05-08,6511,7,0.1%
2023-05-09,6511,44,0.65%
2023-05-09,7001,10,0.15%
2023-05-09,375,4,0.06%
2023-05-09,651,4,0.06%
2023-05-09,555,2,0.03%
2023-05-09,554,1,0.01%
2023-05-10,651,36,0.53%
2023-05-10,6511,30,0.44%
2023-05-10,375,4,0.06%
2023-05-10,555,2,0.03%
2023-05-10,6508,2,0.03%
2023-05-10,359,1,0.01%
2023-05-10,554,1,0.01%
2023-05-10,7001,1,0.01%
2023-05-11,6511,64,0.94%
2023-05-11,651,8,0.12%
2023-05-11,6508,5,0.07%
2023-05-11,7001,4,0.06%
2023-05-11,359,1,0.01%
2023-05-12,375,35,0.51%
2023-05-12,651,21,0.31%
2023-05-12,555,13,0.19%
2023-05-12,6511,7,0.1%
2023-05-12,373,5,0.07%
2023-05-12,359,4,0.06%
2023-05-12,554,3,0.04%
2023-05-12,6508,2,0.03%
2023-05-12,356,1,0.01%
2023-05-13,651,48,0.71%
2023-05-13,374,34,0.5%
2023-05-13,7001,29,0.43%
2023-05-13,6509,27,0.4%
2023-05-13,6511,15,0.22%
2023-05-13,373,5,0.07%
2023-05-13,554,4,0.06%
2023-05-13,550,4,0.06%
2023-05-13,6599,4,0.06%
2023-05-13,371,2,0.03%
2023-05-14,374,84,1.23%
2023-05-14,651,63,0.93%
2023-05-14,550,43,0.63%
2023-05-14,373,36,0.53%
2023-05-14,6511,10,0.15%
2023-05-14,6509,8,0.12%
2023-05-14,270,7,0.1%
2023-05-14,314,6,0.09%
2023-05-14,5505,6,0.09%
2023-05-14,5511,5,0.07%
2023-05-14,371,4,0.06%
2023-05-14,554,2,0.03%
2023-05-14,551,2,0.03%
2023-05-15,374,64,0.94%
2023-05-15,554,61,0.9%
2023-05-15,651,30,0.44%
2023-05-15,550,29,0.43%
2023-05-15,7001,22,0.32%
2023-05-15,551,20,0.29%
2023-05-15,6508,16,0.24%
2023-05-15,373,15,0.22%
2023-05-15,555,9,0.13%
2023-05-15,314,8,0.12%
2023-05-15,6511,4,0.06%
2023-05-15,371,3,0.04%
2023-05-15,7002,3,0.04%
2023-05-15,271,2,0.03%
2023-05-15,315,2,0.03%
2023-05-15,356,2,0.03%
2023-05-15,375,2,0.03%
2023-05-15,270,1,0.01%
2023-05-15,307,1,0.01%
2023-05-15,358,1,0.01%
2023-05-15,359,1,0.01%
2023-05-15,5502,1,0.01%
2023-05-15,5514,1,0.01%
2023-05-16,374,95,1.4%
2023-05-16,7001,45,0.66%
2023-05-16,373,41,0.6%
2023-05-16,651,38,0.56%
2023-05-16,554,32,0.47%
2023-05-16,550,30,0.44%
2023-05-16,359,26,0.38%
2023-05-16,6508,15,0.22%
2023-05-16,371,14,0.21%
2023-05-16,555,12,0.18%
2023-05-16,6511,10,0.15%
2023-05-16,6509,8,0.12%
2023-05-16,315,6,0.09%
2023-05-16,356,6,0.09%
2023-05-16,5509,6,0.09%
2023-05-16,375,5,0.07%
2023-05-16,314,4,0.06%
2023-05-16,551,4,0.06%
2023-05-16,652,4,0.06%
2023-05-16,311,1,0.01%
2023-05-16,312,1,0.01%
2023-05-16,355,1,0.01%
2023-05-16,358,1,0.01%
2023-05-16,4010,1,0.01%
2023-05-17,374,79,1.16%
2023-05-17,651,61,0.9%
2023-05-17,373,49,0.72%
2023-05-17,550,36,0.53%
2023-05-17,6511,36,0.53%
2023-05-17,359,18,0.26%
2023-05-17,554,18,0.26%
2023-05-17,315,10,0.15%
2023-05-17,6508,9,0.13%
2023-05-17,371,8,0.12%
2023-05-17,312,6,0.09%
2023-05-17,5511,6,0.09%
2023-05-17,5509,4,0.06%
2023-05-17,7001,4,0.06%
2023-05-17,1536,2,0.03%
2023-05-17,375,2,0.03%
2023-05-17,270,1,0.01%
2023-05-17,356,1,0.01%
2023-05-17,5514,1,0.01%
2023-05-18,374,57,0.84%
2023-05-18,554,56,0.82%
2023-05-18,651,38,0.56%
2023-05-18,6508,33,0.48%
2023-05-18,359,23,0.34%
2023-05-18,373,23,0.34%
2023-05-18,550,14,0.21%
2023-05-18,7001,12,0.18%
2023-05-18,375,11,0.16%
2023-05-18,6511,10,0.15%
2023-05-18,652,10,0.15%
2023-05-18,6512,7,0.1%
2023-05-18,699,7,0.1%
2023-05-18,270,6,0.09%
2023-05-18,271,2,0.03%
2023-05-18,5509,2,0.03%
2023-05-18,6509,2,0.03%
2023-05-19,651,180,2.64%
2023-05-19,374,78,1.15%
2023-05-19,373,44,0.65%
2023-05-19,7001,41,0.6%
2023-05-19,550,21,0.31%
2023-05-19,6508,18,0.26%
2023-05-19,6512,14,0.21%
2023-05-19,551,13,0.19%
2023-05-19,359,10,0.15%
2023-05-19,315,9,0.13%
2023-05-19,554,9,0.13%
2023-05-19,555,9,0.13%
2023-05-19,375,8,0.12%
2023-05-19,356,5,0.07%
2023-05-19,371,4,0.06%
2023-05-19,6599,4,0.06%
2023-05-19,6509,4,0.06%
2023-05-19,652,4,0.06%
2023-05-19,271,2,0.03%
2023-05-19,5514,2,0.03%
2023-05-19,311,1,0.01%
2023-05-20,651,193,2.83%
2023-05-20,374,63,0.93%
2023-05-20,554,56,0.82%
2023-05-20,7001,52,0.76%
2023-05-20,359,25,0.37%
2023-05-20,5514,20,0.29%
2023-05-20,6508,14,0.21%
